2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - VINTED DATA PIPELINE - FULL RUN
2025-10-09 01:33:30,280 - INFO - ======================================================================
2025-10-09 01:33:30,280 - INFO - 
[1/2] Running Vinted scraper...
2025-10-09 01:33:30,280 - INFO - ----------------------------------------------------------------------
2025-10-09 01:33:31,236 - INFO - Loading homepage to capture cookies
2025-10-09 01:33:41,394 - INFO - Cookies captured: 16
2025-10-09 01:33:41,397 - INFO - Scraping combo: Zara - Dresses - Women
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido plateado satén (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido de Zara (4.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido negro Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido midi apertura negro licra zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido Zara otoño invierno (9.99 EUR, published: 2025-10-07)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido cuadros mini Zara (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,668 - INFO - Scraped: Vestido Beige (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,670 - INFO - Scraped: vestido largo zara (5.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido de flores de Zara. Talla XXL. (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido Zara asimétrico negro (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido mini (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido lurex verde zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido largo Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido (8.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido Zara (11.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido mini cinturón (18.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,670 - INFO - Scraped: Vestido negro (10.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido mini de zara (13.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido Espalda Descubierta Zara (9.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido corto satinado (22.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,671 - INFO - Scraped: Minivestido - Zara - (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido Zara (9.5 EUR, published: 2025-10-08)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido midi mujer (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido nylon (20.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,671 - INFO - Scraped: Vestido Zara (3.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,672 - INFO - Scraped: Vestido ajustado (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,672 - INFO - Scraped: Vestido Zara de cuadros (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,672 - INFO - Scraped: Vestido Zara talla M (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,672 - INFO - Scraped: Vestido de punto Zara (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,672 - INFO - Scraped: Vestido largo asimétrico Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,673 - INFO - Scraped: Vestido midi (19.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,673 - INFO - Scraped: Vestido cut out Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,673 - INFO - Scraped: Envios en 24 horas. Descuentos por lotes (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,673 - INFO - Scraped: Vestido midi apertura gris perla zara (9.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,673 - INFO - Scraped: Vestido Zara (7.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido rojo zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido brillos Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido negro lentejuelas Zara Talla XL (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido Plateado Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido mido negro (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido animal print Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido lima. (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido de Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido fiesta (12.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido negro Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido tablas azul (27.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,674 - INFO - Scraped: Vestido Zara Woman (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,675 - INFO - Scraped: Vestido estampado flores Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,675 - INFO - Scraped: Vestido zara satinado verde escote corto manga larga fruncido (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,675 - INFO - Scraped: Vestido marron con detalle de flores de Zara (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,675 - INFO - Scraped: Vestido negro Zara Talla M (7.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,675 - INFO - Scraped: Vestido de Zara (7.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,676 - INFO - Scraped: Vestido zara (4.5 EUR, published: 2025-10-07)
2025-10-09 01:33:45,676 - INFO - Scraped: Vestido punto Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,676 - INFO - Scraped: Vestido (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,676 - INFO - Scraped: Vestido corto lentejuelas . Solo puesto una vez (5.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,676 - INFO - Scraped: Vestido volantes escote (4.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,678 - INFO - Scraped: Vestido blanco zara brillps (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,678 - INFO - Scraped: Vestido largo Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,678 - INFO - Scraped: Vestido negro (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,678 - INFO - Scraped: Vestido largo Zara (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,678 - INFO - Scraped: Vestido de lino Zara (10.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,678 - INFO - Scraped: Set Conjunto Morado Talla S/M (3.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,678 - INFO - Scraped: vestido vaquero zara (14.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,678 - INFO - Scraped: vestido zara (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido Zara (4.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,679 - INFO - Scraped: vestido midi Zara (6.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido corto negro (8.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido invitada satén Zara (21.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido de Zara (15.0 EUR, published: 2025-10-08)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido lencero (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido midi de flores. Zara. Talla M. (5.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido corto Zara (8.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido muy elegante (10.0 EUR, published: 2025-10-07)
2025-10-09 01:33:45,679 - INFO - Scraped: Vestido pantalón Zara (5.0 EUR, published: 2025-10-07)
