2025-10-13 07:58:05,639 - INFO - 
======================================================================
2025-10-13 07:58:05,639 - INFO - VINTED MARKET INTELLIGENCE PIPELINE
2025-10-13 07:58:05,639 - INFO - Started: 2025-10-13 07:58:05
2025-10-13 07:58:05,640 - INFO - ======================================================================

2025-10-13 07:58:05,640 - INFO - Checking dependencies...
2025-10-13 07:58:05,641 - INFO - [OK] playwright
2025-10-13 07:58:05,985 - INFO - [OK] pandas
2025-10-13 07:58:06,912 - INFO - [OK] streamlit
2025-10-13 07:58:06,912 - INFO - [OK] plotly
2025-10-13 07:58:06,916 - INFO - [OK] reportlab
2025-10-13 07:58:06,916 - INFO - [OK] All dependencies installed
2025-10-13 07:58:06,916 - INFO - [OK] Data directories ready

2025-10-13 07:58:06,916 - INFO - ======================================================================
2025-10-13 07:58:06,916 - INFO - STEP: SCRAPING (vinted_scraper.py)
2025-10-13 07:58:06,916 - INFO - ======================================================================
2025-10-13 07:59:15,403 - INFO - 
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido lunares zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido camisero animal print (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara talla XS (9.6 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido de cuero (4.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido zara satin midi verde militar talla M (10.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido midi (9.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara (10.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido mini (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestito Zara (10.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido estampado tul Zara (10.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara marrón (4.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido largo verde Zara (5.5 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido con tela debajo (4.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido blanco mujer elegante y sexy talla S (6.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido de zara talla M (5.6 EUR, published: 2025-10-11)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido blanco (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara (15.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido vaquero Zara XS (15.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido gris metalizado satén ZARA (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido leopardo mini Zara (15.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido flores (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido largo rojo Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido Zara (5.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido crochet Zara (10.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Camisa larga Zara (6.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido manga larga,puño con volante,goma en cintura (7.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido de Zara (6.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,666 - INFO - Scraped: Vestido negro de Zara (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido mini metalizado de Zara (7.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: precioso top satinado zara negro (8.0 EUR, published: 2025-10-12)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido Zara talla M bordados (15.0 EUR, published: 2025-10-13)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido Zara Dress negro L (3.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido estampado (5.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido blanco palabra de honor (5.0 EUR, published: 2025-10-11)
2025-10-13 07:58:26,667 - INFO - Scraped: Vestido corto talla M (12.0 EUR, published: 2025-10-12)
