item_id,brand_raw,category_raw,title,size_raw,condition_raw,audience,price,currency,published_at,seller_id,visible,season,season_keyword,scrape_timestamp
7331229541,Shein,Dresses,Abito Shein,M / 38 / 10,Muy bueno,Women,2.0,EUR,2025-10-15T23:59:31,126585257,True,,,2025-10-16T01:09:19.756455
7331229454,Zara,Dresses,vestido zara,S / 36 / 8,Muy bueno,Women,12.9,EUR,2025-10-15T23:59:19,162628298,True,,,2025-10-16T01:09:19.756455
7331145192,Lili & Lala,Dresses,Robe « Lili & lala »,S / 36 / 8,Muy bueno,Women,12.0,EUR,2025-10-15T19:16:40,46321905,True,,,2025-10-16T01:09:19.756455
7331229109,pas de marque,Dresses,Mini robe a bretelles femme taille,Talla única,Muy bueno,Women,14.0,EUR,2025-10-15T23:58:22,103476711,True,,,2025-10-16T01:09:19.756455
7331229101,Nessun Brand,Dresses,Abito tubino donna elegante nero con cintura – taglia M,M / 38 / 10,Muy bueno,Women,12.0,EUR,2025-10-15T23:58:20,113238668,True,,,2025-10-16T01:09:19.756455
7331228981,ONLY,Dresses,Robe Only neuve taille M,M / 38 / 10,Nuevo sin etiquetas,Women,4.0,EUR,2025-10-15T23:57:58,21354403,True,,,2025-10-16T01:09:19.756455
7331228965,,Dresses,Très belle robe t 44,XXL / 44 / 16,Muy bueno,Women,12.0,EUR,2025-10-15T23:57:55,16350886,True,,,2025-10-16T01:09:19.756455
7331227231,,Dresses,Petite robe 👗 noire avec strass au col. Taille 38,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-15T23:52:43,28073581,True,,,2025-10-16T01:09:19.756455
7331228922,Lady Pipa,Dresses,Vestido fiesta coral  Lady pipa,XL / 42 / 14,Nuevo sin etiquetas,Women,75.0,EUR,2025-10-15T23:57:47,71132977,True,,,2025-10-16T01:09:19.756455
7331226942,Zara,Dresses,"Robe 👗 femme.  Taille 36 ,  zara",S / 36 / 8,Muy bueno,Women,10.0,EUR,2025-10-15T23:51:49,28073581,True,,,2025-10-16T01:09:19.756455
7331228894,Primark,Dresses,Robe chemise longue,M / 38 / 10,Muy bueno,Women,3.0,EUR,2025-10-15T23:57:41,1627054,True,,,2025-10-16T01:09:19.756455
7331226587,LM LULU,Dresses,Laine et cachemire. Robe 👗 mini femme. Taille 36 / 38.LM lulu,S / 36 / 8,Muy bueno,Women,17.0,EUR,2025-10-15T23:50:41,28073581,True,,,2025-10-16T01:09:19.756455
7331228785,ONLY,Dresses,Petite robe noir only 42,XL / 42 / 14,Muy bueno,Women,10.0,EUR,2025-10-15T23:57:21,22692860,True,,,2025-10-16T01:09:19.756455
7331228695,Mango,Dresses,Vestido negro ceñido talla XS de la marca Mango,XS / 34 / 6,Muy bueno,Women,7.0,EUR,2025-10-15T23:57:08,245862370,True,,,2025-10-16T01:09:19.756455
7331228685,Zara,Dresses,Petite robe noire Zara,S / 36 / 8,Bueno,Women,5.0,EUR,2025-10-15T23:57:07,17156688,True,,,2025-10-16T01:09:19.756455
7331228638,inconnue,Dresses,Robe longue moutarde,M / 38 / 10,Muy bueno,Women,4.0,EUR,2025-10-16T00:04:18,272799810,True,,,2025-10-16T01:09:19.756455
7331228622,Shein,Dresses,Robe été,XL / 42 / 14,Muy bueno,Women,10.0,EUR,2025-10-15T23:56:56,38367120,True,,,2025-10-16T01:09:19.756455
7331225065,Intimissimi,Dresses,"Neuve avec étiquette 🏷.  Robe 👗 dentelle.  Taille 36, Intimissimi. Rouge",S / 36 / 8,Nuevo con etiquetas,Women,20.0,EUR,2025-10-15T23:46:09,28073581,True,,,2025-10-16T01:09:19.756455
7331228557,Shein Curve,Dresses,Lange rode jurk,XXXL / 46 / 18,Muy bueno,Women,12.5,EUR,2025-10-15T23:56:44,104632766,True,,,2025-10-16T01:09:19.756455
7331228508,An'ge,Dresses,Robe femme,S / 36 / 8,Muy bueno,Women,2.0,EUR,2025-10-15T23:56:33,87075626,True,,,2025-10-16T01:09:19.756455
7331228122,PrettyLittleThing,Dresses,Robe sequin,S / 36 / 8,Muy bueno,Women,10.0,EUR,2025-10-15T23:55:28,17156688,True,,,2025-10-16T01:09:19.756455
7331227943,New Sensation,Dresses,Robe femme,XL / 42 / 14,Nuevo con etiquetas,Women,5.0,EUR,2025-10-15T23:54:56,87075626,True,,,2025-10-16T01:09:19.756455
7331227968,,Dresses,Sous robe ou pour aller en boîte de nuit,M / 38 / 10,Nuevo sin etiquetas,Women,20.0,EUR,2025-10-15T23:55:00,249557222,True,,,2025-10-16T01:09:19.756455
7331227949,Shein,Dresses,Robe manches longues,L / 40 / 12,Muy bueno,Women,2.0,EUR,2025-10-15T23:54:57,25051782,True,,,2025-10-16T01:09:19.756455
7331227919,Desigual,Dresses,Abito Desigual in ottime condizioni,L / 40 / 12,Muy bueno,Women,4.5,EUR,2025-10-15T23:54:51,194756748,True,,,2025-10-16T01:09:19.756455
7331227718,Promod,Dresses,Robe velour,XXXL / 46 / 18,Nuevo sin etiquetas,Women,24.0,EUR,2025-10-15T23:54:16,15170111,True,,,2025-10-16T01:09:19.756455
7331227591,Caroll,Dresses,Robe doublée en dentelle de Caroll,M / 38 / 10,Muy bueno,Women,20.0,EUR,2025-10-15T23:53:50,24269781,True,,,2025-10-16T01:09:19.756455
7331227668,Shein,Dresses,Robe été,S / 36 / 8,Bueno,Women,1.0,EUR,2025-10-15T23:54:05,17156688,True,,,2025-10-16T01:09:19.756455
7331227595,Made In Italy,Dresses,Robe noire xl,XL / 42 / 14,Muy bueno,Women,16.0,EUR,2025-10-15T23:53:51,22692860,True,,,2025-10-16T01:09:19.756455
7331227545,Zara,Dresses,Robe mini manches courtes Zara femme taille M,M / 38 / 10,Muy bueno,Women,13.45,EUR,2025-10-15T23:53:41,103476711,True,,,2025-10-16T01:09:19.756455
7331227490,Vintage Dressing,Dresses,Abito maniche lunghe,S / 36 / 8,Muy bueno,Women,25.0,EUR,2025-10-15T23:53:32,100446425,True,,,2025-10-16T01:09:19.756455
7331227494,Pittarello,Dresses,Miniabito con maniche trasparenti,Talla única,Nuevo con etiquetas,Women,3.5,EUR,2025-10-15T23:53:33,104234837,True,,,2025-10-16T01:09:19.756455
7331227439,Vintage Chic,Dresses,"Robe courte à carreaux chic, boutons perlés, col nœud, manches évasées. Taille M",M / 38 / 10,Muy bueno,Women,59.0,EUR,2025-10-15T23:53:22,292544554,True,,,2025-10-16T01:09:19.756455
7331227390,GUESS,Dresses,Vestito donna Guess,M / 38 / 10,Nuevo sin etiquetas,Women,40.0,EUR,2025-10-15T23:53:13,233862844,True,,,2025-10-16T01:09:19.756455
7331227395,Season,Dresses,Robe portefeuille,S / 36 / 8,Bueno,Women,5.0,EUR,2025-10-15T23:53:14,17156688,True,,,2025-10-16T01:09:19.756455
7331227300,Vintage Love,Dresses,"Robe bleu ciel style cottagecore, manches bouffantes et volants romantiques. taille M",M / 38 / 10,Muy bueno,Women,54.9,EUR,2025-10-15T23:52:58,225879388,True,,,2025-10-16T01:09:19.756455
7331227362,Magna,Dresses,Zwarte Jurk 48 / 50 Magna Dames,4XL / 48 / 20,Muy bueno,Women,4.95,EUR,2025-10-15T23:53:08,227620334,True,,,2025-10-16T01:09:19.756455
7331227268,Shein,Dresses,Abito estivo,S / 36 / 8,Nuevo sin etiquetas,Women,4.0,EUR,2025-10-15T23:52:52,68448564,True,,,2025-10-16T01:09:19.756455
7331227227,made in France,Dresses,Robe fuseau en jeans,S / 36 / 8,Muy bueno,Women,17.0,EUR,2025-10-15T23:52:42,20024056,True,,,2025-10-16T01:09:19.756455
7331227183,MINORITY,Dresses,👗 Top mode  👗,Talla única,Muy bueno,Women,10.0,EUR,2025-10-15T23:52:33,24005272,True,,,2025-10-16T01:09:19.756455
7331227181,Ba&sh,Dresses,Robe Ba&sh taille 4,XL / 42 / 14,Muy bueno,Women,50.0,EUR,2025-10-15T23:52:32,39306204,True,,,2025-10-16T01:09:19.756455
7331227156,Shein Curve,Dresses,Mooie lange jurk,XXXL / 46 / 18,Muy bueno,Women,12.5,EUR,2025-10-15T23:52:27,104632766,True,,,2025-10-16T01:09:19.756455
7331227123,Pimkie,Dresses,Robe neuve avec étiquette taille 34 pimkie,XS / 34 / 6,Nuevo con etiquetas,Women,5.0,EUR,2025-10-15T23:52:20,24061623,True,,,2025-10-16T01:09:19.756455
7331227066,Vintage Chic,Dresses,"Robe tweed noire élégante, nœud lavallière, boutons nacrés et volants chic taille M",M / 38 / 10,Muy bueno,Women,52.9,EUR,2025-10-15T23:52:10,225879388,True,,,2025-10-16T01:09:19.756455
7331227033,Zara,Dresses,Vestido Zara,XS / 34 / 6,Muy bueno,Women,9.0,EUR,2025-10-15T23:52:03,25762472,True,,,2025-10-16T01:09:19.756455
7331226921,Delousion,Dresses,~Delousion~ 🩵 Vestido Recto Turquesa T-S,S / 36 / 8,Muy bueno,Women,12.99,EUR,2025-10-15T23:51:44,227016625,True,,,2025-10-16T01:09:19.756455
7331226981,Jennyfer,Dresses,"Robe longue noire, taille S Jennyfer",S / 36 / 8,Nuevo con etiquetas,Women,16.0,EUR,2025-10-15T23:51:55,12742472,True,,,2025-10-16T01:09:19.756455
7331226956,Zara,Dresses,Robe Zara robe fleurs,S / 36 / 8,Muy bueno,Women,3.0,EUR,2025-10-15T23:51:52,17156688,True,,,2025-10-16T01:09:19.756455
7331226893,Lefties,Dresses,Très jolie robe taille M,M / 38 / 10,Nuevo sin etiquetas,Women,10.0,EUR,2025-10-15T23:51:38,39074052,True,,,2025-10-16T01:09:19.756455
7331222799,,Dresses,Feest jurk,XS / 34 / 6,Nuevo sin etiquetas,Women,5.5,EUR,2025-10-15T23:38:20,227749422,True,,,2025-10-16T01:09:19.756455
7331226805,Vintage Chic,Dresses,"Robe bleu marine à pois blancs, coupe rétro et dentelle sur le col taille S",S / 36 / 8,Muy bueno,Women,45.0,EUR,2025-10-15T23:51:21,225879388,True,,,2025-10-16T01:09:19.756455
7331226752,Vintage Dressing,Dresses,Vestido,M / 38 / 10,Nuevo sin etiquetas,Women,7.0,EUR,2025-10-15T23:51:12,244568109,True,,,2025-10-16T01:09:19.756455
7331226820,FB Sister,Dresses,Robe pull,M / 38 / 10,Muy bueno,Women,2.0,EUR,2025-10-15T23:51:24,16936649,True,,,2025-10-16T01:09:19.756455
7331226821,MLC collection,Dresses,Robe kaki taille 52 Neuve avec étiquette,6XL / 52 / 24,Nuevo con etiquetas,Women,25.0,EUR,2025-10-15T23:51:24,82761,True,,,2025-10-16T01:09:19.756455
7331226802,Made In Italy,Dresses,Robe mini épaule dénudé taille unique femme blanche,Talla única,Muy bueno,Women,9.9,EUR,2025-10-15T23:51:21,103476711,True,,,2025-10-16T01:09:19.756455
7331226703,Shein,Dresses,Robe dos nue,S / 36 / 8,Muy bueno,Women,3.0,EUR,2025-10-15T23:51:02,292917223,True,,,2025-10-16T01:09:19.756455
7331226724,,Dresses,Vestito con fiore,S / 36 / 8,Muy bueno,Women,1.5,EUR,2025-10-15T23:51:05,104234837,True,,,2025-10-16T01:09:19.756455
7331226640,Mango,Dresses,Robe mango,S / 36 / 8,Muy bueno,Women,4.0,EUR,2025-10-15T23:50:50,17156688,True,,,2025-10-16T01:09:19.756455
7331226637,,Dresses,Vestito,Talla única,Nuevo con etiquetas,Women,18.0,EUR,2025-10-15T23:50:50,278385494,True,,,2025-10-16T01:09:19.756455
7331226441,Oliver Jung,Dresses,Robe Oliver Jung,L / 40 / 12,Muy bueno,Women,15.0,EUR,2025-10-15T23:50:16,26796764,True,,,2025-10-16T01:09:19.756455
7331226316,ELEGANTE,Dresses,Vestido de mujer Elegante de  encaje rosa,S / 36 / 8,Muy bueno,Women,18.0,EUR,2025-10-15T23:49:55,57769079,True,,,2025-10-16T01:09:19.756455
7331226406,Promod,Dresses,Robe mini femme promod taille 36 bleu marine,S / 36 / 8,Muy bueno,Women,15.0,EUR,2025-10-15T23:50:09,103476711,True,,,2025-10-16T01:09:19.756455
7331226367,C&A,Dresses,Robe Tee shirt,M / 38 / 10,Muy bueno,Women,4.0,EUR,2025-10-15T23:50:06,51651170,True,,,2025-10-16T01:09:19.756455
7331226350,,Dresses,Vestito estivo donna,S / 36 / 8,Muy bueno,Women,4.0,EUR,2025-10-15T23:50:01,200675285,True,,,2025-10-16T01:09:19.756455
7331226291,Vintage Chic,Dresses,"Robe noire moulante avec zip et simili cuir, élégante taille M",M / 38 / 10,Muy bueno,Women,43.9,EUR,2025-10-15T23:49:51,225879388,True,,,2025-10-16T01:09:19.756455
7331226186,Seven Sisters,Dresses,Jolie robe dentelle femme T/S 💞 Precioso vestido encaje mujer T/ S,S / 36 / 8,Muy bueno,Women,18.0,EUR,2025-10-15T23:49:36,260578262,True,,,2025-10-16T01:09:19.756455
7331226138,Tiramisu,Dresses,Maglione vestito lungo con tasche nero donna,Talla única,Muy bueno,Women,12.0,EUR,2025-10-15T23:49:33,215414558,True,,,2025-10-16T01:09:19.756455
7331225940,,Dresses,Robe longue bretelles  femme taille unique imprimé,Talla única,Muy bueno,Women,12.0,EUR,2025-10-15T23:48:57,103476711,True,,,2025-10-16T01:09:19.756455
7331225954,,Dresses,Vestito con cintura,S / 36 / 8,Nuevo sin etiquetas,Women,3.5,EUR,2025-10-15T23:49:00,104234837,True,,,2025-10-16T01:09:19.756455
7331225871,Celmia,Dresses,Robe soirée mi longue femme 42,XL / 42 / 14,Nuevo sin etiquetas,Women,9.0,EUR,2025-10-15T23:48:46,34784615,True,,,2025-10-16T01:09:19.756455
7331225839,Shein Curve,Dresses,Omslagjurk,XXL / 44 / 16,Muy bueno,Women,7.5,EUR,2025-10-15T23:48:39,104632766,True,,,2025-10-16T01:09:19.756455
7331225762,Shein Curve,Dresses,Vestido estampado XL,XL / 42 / 14,Muy bueno,Women,10.0,EUR,2025-10-15T23:48:24,31509431,True,,,2025-10-16T01:09:19.756455
