segment,dts_median,dts_mean,dts_p25,dts_p75,sell_through_30d_pct,sold_30d_count,total_sold,total_items,price_p25,price_p50,price_p75,price_mean,avg_discount_pct,median_discount_pct,liquidity_score,liquidity_grade
Brand: Bellissimo,,,,,0.0,0,0,4,9.5,11.0,19.0,17.5,,,,
Brand: Bershka,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,55.55555555555556,25,25,45,4.0,5.5,10.0,7.199111111111112,0.0,0.0,98.32913618016975,A
Brand: Best Life,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,4.5,4.5,4.5,4.5,0.0,0.0,98.32913618016975,A
Brand: Best Mountain,,,,,0.0,0,0,2,7.25,9.5,11.75,9.5,,,,
Brand: Betty Barclay,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,75.0,75.0,75.0,75.0,0.0,0.0,98.32913618016975,A
Brand: Bianco,,,,,0.0,0,0,2,10.25,10.5,10.75,10.5,,,,
Brand: Bianka,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,17.0,17.0,17.0,17.0,0.0,0.0,98.32913618016975,A
Brand: Bimba Y Lola,,,,,0.0,0,0,1,12.0,12.0,12.0,12.0,,,,
Brand: Bisou's Project,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,4.75,6.5,8.25,6.5,0.0,0.0,98.32913618016975,A
Brand: Bizzbee,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,12.5,13.0,13.5,13.0,0.0,0.0,98.32913618016975,A
Brand: Black,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,12.0,12.0,12.0,12.0,0.0,0.0,98.32913618016975,A
Brand: Blancheporte,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,20.0,1,1,5,4.0,10.0,10.0,10.4,0.0,0.0,68.32913618016975,B
Brand: Blanco,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,33.33333333333333,1,1,3,6.75,7.0,9.5,8.5,0.0,0.0,81.66246951350308,A
Brand: Bleu Marine,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,13.75,22.5,31.25,22.5,0.0,0.0,98.32913618016975,A
Brand: Bleu bonheur,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,98.32913618016975,A
Brand: Blooshop,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,2,2,2,31.25,37.5,43.75,37.5,0.0,0.0,98.32913618016975,A
Brand: Blu,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,33.33333333333333,1,1,3,4.25,5.0,6.0,5.166666666666667,0.0,0.0,81.66246951350308,A
Brand: Blue Joint,,,,,0.0,0,0,1,4.0,4.0,4.0,4.0,,,,
Brand: Blue Motion,,,,,0.0,0,0,2,10.75,13.5,16.25,13.5,,,,
Brand: Bluoltre,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,9.875,14.75,19.625,14.75,0.0,0.0,98.32913618016975,A
Brand: BnK,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,4.99,4.99,4.99,4.99,0.0,0.0,98.32913618016975,A
Brand: Bodyflirt,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,3,3,6,5.0,8.75,12.5,8.833333333333334,0.0,0.0,98.32913618016975,A
Brand: Bomaca,,,,,0.0,0,0,1,20.0,20.0,20.0,20.0,,,,
Brand: Bonobo,,,,,0.0,0,0,5,4.0,6.0,7.0,6.0,,,,
Brand: Bonprix,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,3,3,6,2.875,4.5,7.25,4.916666666666667,0.0,0.0,98.32913618016975,A
Brand: Boohoo,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,14.285714285714285,1,1,7,9.5,10.0,12.5,13.285714285714286,0.0,0.0,62.61485046588404,B
Brand: Bordeaux,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,21.5,31.0,40.5,31.0,0.0,0.0,98.32913618016975,A
Brand: Boss,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,10.0,10.0,10.0,10.0,0.0,0.0,98.32913618016975,A
Brand: Boutique Belgique,,,,,0.0,0,0,1,500.0,500.0,500.0,500.0,,,,
Brand: Boutique Bohéme,,,,,0.0,0,0,1,8.0,8.0,8.0,8.0,,,,
Brand: Boutique Italiana,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,28.57142857142857,2,2,7,5.225,8.0,12.5,9.485714285714286,0.0,0.0,76.90056475159832,A
Brand: Boutique Parisienne,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,57.14285714285714,4,4,7,24.9,27.0,27.5,30.25714285714286,0.0,0.0,98.32913618016975,A
Brand: Boutique indépendance,,,,,0.0,0,0,1,15.0,15.0,15.0,15.0,,,,
Brand: Boutique indépendante,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,44.44444444444444,4,4,9,15.0,18.0,18.0,16.333333333333332,0.0,0.0,92.7735806246142,A
Brand: Brend,,,,,0.0,0,0,1,25.0,25.0,25.0,25.0,,,,
Brand: Brentiny Paris,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,10.0,10.0,10.0,10.0,0.0,0.0,98.32913618016975,A
Brand: Broadway,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,5.0,5.0,5.0,5.0,0.0,0.0,98.32913618016975,A
Brand: Brownie,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,1,1,2,11.0,14.0,17.0,14.0,0.0,0.0,98.32913618016975,A
Brand: Brunello Cucinelli,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,450.0,450.0,450.0,450.0,0.0,0.0,98.32913618016975,A
Brand: Bréal,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,66.66666666666666,2,2,3,3.5,4.0,8.0,6.333333333333333,0.0,0.0,98.32913618016975,A
Brand: Btween,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,2.4,2.4,2.4,2.4,0.0,0.0,98.32913618016975,A
Brand: Burberry,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,98.32913618016975,A
Brand: By Clara,,,,,0.0,0,0,1,12.5,12.5,12.5,12.5,,,,
Brand: By Graziella,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,25.0,25.0,25.0,25.0,0.0,0.0,98.32913618016975,A
Brand: By One,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,75.0,3,3,4,11.5,13.0,16.75,15.25,0.0,0.0,98.32913618016975,A
Brand: C&A,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,30.76923076923077,4,4,13,4.0,6.0,10.0,7.6923076923076925,0.0,0.0,79.09836694940053,A
Brand: C&C Fashion Collection,,,,,0.0,0,0,1,6.0,6.0,6.0,6.0,,,,
Brand: C&S,,,,,0.0,0,0,1,4.0,4.0,4.0,4.0,,,,
Brand: C'est_Monique,,,,,0.0,0,0,1,8.0,8.0,8.0,8.0,,,,
Brand: CARDIÉ,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,90.0,90.0,90.0,90.0,0.0,0.0,98.32913618016975,A
Brand: CASSIS,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: CASTING,,,,,0.0,0,0,1,40.0,40.0,40.0,40.0,,,,
Brand: CC Collection,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,6.0,6.0,6.0,6.0,0.0,0.0,98.32913618016975,A
Brand: CDC,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: CELOP,,,,,0.0,0,0,2,13.4875,18.975,24.4625,18.975,,,,
Brand: CHATTAWAK,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,7.0,7.0,7.0,7.0,0.0,0.0,98.32913618016975,A
Brand: CHIC,,,,,0.0,0,0,3,13.0,22.0,33.5,23.666666666666668,,,,
Brand: CHICC,,,,,0.0,0,0,1,6.0,6.0,6.0,6.0,,,,
Brand: CKH Clockhouse,,,,,0.0,0,0,1,10.0,10.0,10.0,10.0,,,,
Brand: COQUETTE,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,3,3,3,10.5,12.0,21.0,17.0,0.0,0.0,98.32913618016975,A
Brand: COS,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,36.36363636363637,4,4,11,11.0,26.0,47.0,31.454545454545453,0.0,0.0,84.69277254380611,A
Brand: Cache Cache,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,10,10,20,5.0,7.0,12.75,9.4,0.0,0.0,98.32913618016975,A
Brand: CafèNoir,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,10.0,10.0,10.0,10.0,0.0,0.0,98.32913618016975,A
Brand: Calaveras,,,,,0.0,0,0,1,6.0,6.0,6.0,6.0,,,,
Brand: Calin Kalin,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: Calliope,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,3,3,6,5.75,8.5,9.75,8.5,0.0,0.0,98.32913618016975,A
Brand: Calvin Klein,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,40.0,2,2,5,10.0,10.0,28.0,19.2,0.0,0.0,88.32913618016975,A
Brand: Calvin Klein Jeans,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,34.8,34.8,34.8,34.8,0.0,0.0,98.32913618016975,A
Brand: Calzedonia,,,,,0.0,0,0,1,15.0,15.0,15.0,15.0,,,,
Brand: Camaïeu,1.0025182918981481,1.0025182918981483,1.0025182918981481,1.0025182918981481,46.666666666666664,7,7,15,2.5,5.0,8.0,5.7,0.0,0.0,94.99580284683643,A
Brand: Camomilla,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,10.0,10.0,10.0,10.0,0.0,0.0,98.32913618016975,A
Brand: Canda,,,,,0.0,0,0,1,3.0,3.0,3.0,3.0,,,,
Brand: Candida,,,,,0.0,0,0,1,5.0,5.0,5.0,5.0,,,,
Brand: Caractère,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,38.0,38.0,38.0,38.0,0.0,0.0,98.32913618016975,A
Brand: Carbone,,,,,0.0,0,0,1,3.0,3.0,3.0,3.0,,,,
Brand: Carla G.,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,39.0,39.0,39.0,39.0,0.0,0.0,98.32913618016975,A
Brand: Carla Giannini,,,,,0.0,0,0,1,30.0,30.0,30.0,30.0,,,,
Brand: Carla Ruiz,,,,,0.0,0,0,1,30.0,30.0,30.0,30.0,,,,
Brand: Carling,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,5.0,5.0,5.0,5.0,0.0,0.0,98.32913618016975,A
Brand: Caro,,,,,0.0,0,0,1,9.0,9.0,9.0,9.0,,,,
Brand: Carol,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,13.0,13.0,13.0,13.0,0.0,0.0,98.32913618016975,A
Brand: Carolina Herrera,,,,,0.0,0,0,1,60.0,60.0,60.0,60.0,,,,
Brand: Caroline Biss,,,,,0.0,0,0,2,12.5,15.0,17.5,15.0,,,,
Brand: Caroll,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,50.0,4,4,8,11.0,17.5,20.0,20.125,0.0,0.0,98.32913618016975,A
Brand: Casual LADIES,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,6.0,6.0,6.0,6.0,0.0,0.0,98.32913618016975,A
Brand: Casual by Gémo,,,,,0.0,0,0,1,6.0,6.0,6.0,6.0,,,,
Brand: Catwalk Junkie,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,20.0,20.0,20.0,20.0,0.0,0.0,98.32913618016975,A
Brand: Cecilia Fashion,,,,,0.0,0,0,1,12.0,12.0,12.0,12.0,,,,
Brand: Celia,,,,,0.0,0,0,1,35.0,35.0,35.0,35.0,,,,
Brand: Celmia,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,9.0,9.0,9.0,9.0,0.0,0.0,98.32913618016975,A
Brand: Cerise Blue,,,,,0.0,0,0,2,16.5,19.0,21.5,19.0,,,,
Brand: Chantal Thomass,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,15.0,15.0,15.0,15.0,0.0,0.0,98.32913618016975,A
Brand: Charles Vögele,1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,2.0,2.0,2.0,2.0,0.0,0.0,98.32913618016975,A
Brand: Charlott',1.0025182918981481,1.0025182918981481,1.0025182918981481,1.0025182918981481,100.0,1,1,1,3.0,3.0,3.0,3.0,0.0,0.0,98.32913618016975,A
